host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_has_profile_pic,host_identity_verified
46935434,Taylor,19-10-2015,"Rockwall, Texas, United States",within an hour,100,75,FALSE,,0,TRUE,TRUE
124060715,Evolve,03-04-2017,United States,within an hour,100,100,FALSE,West Austin,823,TRUE,TRUE
43897852,Ruth,10-09-2015,"Duncanville, Texas, United States",within a few hours,100,89,TRUE,,12,TRUE,TRUE
349473128,Luxurious,10-06-2020,"Dallas, Texas, United States",within an hour,100,100,TRUE,,0,TRUE,TRUE
408473679,ALL-EN Luxury Stays & Rentals LLC,22-06-2021,"McKinney, Texas, United States",within an hour,100,98,TRUE,Old East Dallas,1,TRUE,TRUE
422542935,Oladipupo,11-09-2021,"Aubrey, Texas, United States",within an hour,100,100,FALSE,,0,TRUE,TRUE
147694737,Eddie,25-08-2017,"New York, New York, United States",within an hour,100,100,TRUE,,1,TRUE,TRUE
433378589,Ransom,24-11-2021,"Coppell, Texas, United States",within an hour,100,100,FALSE,Lakeside At Frisco Bridges,1,TRUE,TRUE
452778247,Gloria,04-04-2022,US,within an hour,100,86,FALSE,,0,TRUE,TRUE
419481138,Phoebeplex,21-08-2021,US,within an hour,100,100,TRUE,,0,TRUE,TRUE
108514926,Dalls,26-12-2016,"Houston, Texas, United States",within an hour,100,85,FALSE,Oak Lawn,337,TRUE,TRUE
443171555,Esther,01-02-2022,"Addison, Texas, United States",,,,FALSE,Far North Dallas,0,TRUE,TRUE
372284172,Brichai,17-10-2020,"Dallas, Texas, United States",within an hour,100,99,TRUE,Victory Park,1,TRUE,TRUE
345646319,Derrial,07-05-2020,US,within an hour,80,100,FALSE,Far North Dallas,5,TRUE,TRUE
112593570,Max,21-01-2017,US,within an hour,97,95,FALSE,Oak Lawn,110,TRUE,TRUE
150887752,Abigail,16-09-2017,"Dallas, Texas, United States",a few days or more,25,50,FALSE,,2,TRUE,TRUE
300211,Rita,26-11-2010,"Roanoke, Texas, United States",within a few hours,100,100,FALSE,Oak Lawn,1,TRUE,TRUE
78344,J. Yuriko,06-02-2010,"Dallas, Texas, United States",within a few hours,100,0,FALSE,,1,TRUE,TRUE
4096626,Eric,08-11-2012,"Seattle, Washington, United States",within an hour,100,0,FALSE,Oak Lawn,1,TRUE,TRUE
4191322,Michelle,19-11-2012,"Memphis, Tennessee, United States",within an hour,100,98,TRUE,Oak Lawn,2,TRUE,TRUE
804559,Rod,11-07-2011,"Dallas, Texas, United States",within a few hours,90,75,FALSE,North Central Dallas,0,TRUE,FALSE
4505460,Judy,27-12-2012,"Dallas, Texas, United States",within an hour,100,83,TRUE,Old Lake Highlands,4,TRUE,FALSE
5821283,Kathy,07-04-2013,"Dallas, Texas, United States",within a few hours,100,79,FALSE,Oak Lawn,3,TRUE,FALSE
6063232,Joan,23-04-2013,"Dallas, Texas, United States",within an hour,100,95,FALSE,Central Dallas,13,TRUE,TRUE
5037857,Marie,10-02-2013,"Dallas, Texas, United States",within an hour,100,98,TRUE,Belmont,2,TRUE,TRUE
6904484,C. F. Sandy,13-06-2013,"Dallas, Texas, United States",a few days or more,0,0,FALSE,North Central Dallas,1,TRUE,TRUE
5881933,NatalieandItamar,11-04-2013,"Irving, Texas, United States",within a day,100,69,FALSE,North Central Dallas,11,TRUE,TRUE
3809024,Holly,09-10-2012,"Dallas, Texas, United States",within a few hours,100,80,TRUE,Lower Greenville,4,TRUE,TRUE
7961670,Jill,05-08-2013,"Dallas, Texas, United States",,,98,TRUE,Oak Cliff,1,TRUE,TRUE
3932821,Greg,21-10-2012,"Texas, United States",,,0,FALSE,White Rock East,5,TRUE,TRUE
9557710,Jeff,21-10-2013,"Dallas, Texas, United States",within an hour,100,94,TRUE,Downtown,3,TRUE,TRUE
9723429,Carrie,30-10-2013,"Dallas, Texas, United States",within an hour,100,100,FALSE,Oak Cliff,1,TRUE,TRUE
10812966,Craig,25-12-2013,"Dallas, Texas, United States",within a few hours,100,0,FALSE,Oak Lawn,1,TRUE,TRUE
11067935,Thierry,06-01-2014,US,within a day,80,49,TRUE,Glen Meadow/Westhollow/Northhaven Park,1,TRUE,FALSE
11740756,Jeff,28-01-2014,"Dallas, Texas, United States",within an hour,100,99,TRUE,Oak Lawn,1,TRUE,TRUE
12993311,Jan,10-03-2014,"Dallas, Texas, United States",within a few hours,100,88,FALSE,Central Dallas,4,TRUE,TRUE
12321313,Judith,17-02-2014,"Dallas, Texas, United States",within an hour,100,100,FALSE,Bent Tree,3,TRUE,TRUE
14042475,Mina,08-04-2014,"Pearland, Texas, United States",,,0,FALSE,Southeast Dallas,1,TRUE,TRUE
7173761,Fred,28-06-2013,"Dallas, Texas, United States",within an hour,100,96,TRUE,Southeast Dallas,2,TRUE,TRUE
10667067,Jj,17-12-2013,"Lucas, Texas, United States",,,100,FALSE,North Central Dallas,8,TRUE,TRUE
885061,Roberto,28-07-2011,"Dallas, Texas, United States",within an hour,100,96,FALSE,Bryan Square,6,TRUE,TRUE
15962199,Teena,25-05-2014,"Dallas, Texas, United States",within a few hours,100,100,TRUE,Northwest Dallas,1,TRUE,FALSE
16213597,Alicia,31-05-2014,"Dallas, Texas, United States",,,0,FALSE,Forest Hills/Casa Linda,1,TRUE,TRUE
413304,Debbie,27-02-2011,"Dallas, Texas, United States",within an hour,100,100,FALSE,,2,TRUE,TRUE
104258,Julie,06-04-2010,"Dallas, Texas, United States",,,,FALSE,,1,TRUE,TRUE
14949514,Karen,30-04-2014,"Dallas, Texas, United States",within an hour,100,100,TRUE,Glencoe Park,1,TRUE,TRUE
6324192,Amy,10-05-2013,"Dallas, Texas, United States",within a day,90,82,FALSE,Lower Greenville,1,TRUE,TRUE
424335855,C.J.,23-09-2021,"Dallas, Texas, United States",,,,FALSE,,1,TRUE,FALSE
17424986,Naveed,29-06-2014,"DeSoto, Texas, United States",,,0,FALSE,Oak Lawn,1,TRUE,TRUE
21257246,John,12-09-2014,"Dallas, Texas, United States",within a day,100,75,FALSE,Oak Cliff,1,TRUE,TRUE
15695797,Keane,18-05-2014,"Dallas, Texas, United States",within an hour,100,100,FALSE,Oak Cliff,1,TRUE,TRUE
14736042,Zagros,25-04-2014,"Dallas, Texas, United States",within an hour,100,100,TRUE,Belmont,1,TRUE,TRUE
23185639,J. Nicole,31-10-2014,"Dallas, Texas, United States",within an hour,100,100,FALSE,Kessler,1,TRUE,TRUE
22330135,Lisa,09-10-2014,"Dallas, Texas, United States",within an hour,100,59,TRUE,Bent Tree,1,TRUE,TRUE
23751816,Blake,14-11-2014,"Dallas, Texas, United States",within a few hours,90,73,TRUE,Downtown,2,TRUE,TRUE
16468063,Danny,06-06-2014,"Dallas, Texas, United States",within a few hours,81,71,FALSE,North Central Dallas,8,TRUE,FALSE
9649521,Cory,26-10-2013,"Dallas, Texas, United States",within an hour,100,95,TRUE,Central Dallas,1,TRUE,TRUE
24921413,Micah,17-12-2014,"Dallas, Texas, United States",within an hour,100,100,TRUE,Central Dallas,10,TRUE,TRUE
8361847,Timothe,24-08-2013,"Dallas, Texas, United States",,,0,FALSE,Lake Highlands,1,TRUE,TRUE
25470993,Joe,01-01-2015,"Dallas, Texas, United States",within an hour,100,96,TRUE,,1,TRUE,TRUE
10435889,Tiffaney,04-12-2013,"McAllen, Texas, United States",within an hour,100,98,TRUE,M Streets,2,TRUE,TRUE
9761734,Michael,01-11-2013,"Dallas, Texas, United States",within an hour,100,79,TRUE,Oak Lawn,5,TRUE,TRUE
9954289,Mark,12-11-2013,"Dallas, Texas, United States",within an hour,100,100,TRUE,Oak Cliff,1,TRUE,TRUE
378749,Brian,05-02-2011,"Dallas, Texas, United States",within an hour,100,82,TRUE,Ewing/Corinth,2,TRUE,TRUE
29447543,Mark,16-03-2015,"Dallas, Texas, United States",within a day,70,83,FALSE,Hillside/University Meadows/Ridge Wood Park/North Stonewall Terrace,1,TRUE,TRUE
29514625,Lisa,17-03-2015,"Dallas, Texas, United States",,,,FALSE,Downtown,2,TRUE,TRUE
1294259,Cynthia,15-10-2011,"Dallas, Texas, United States",within a day,90,80,FALSE,Northwest Dallas,2,TRUE,TRUE
32157153,Jim,28-04-2015,"Dallas, Texas, United States",within a day,100,38,FALSE,Oak Lawn,1,TRUE,FALSE
20618407,Valarie,27-08-2014,"Dallas, Texas, United States",within an hour,100,97,TRUE,Bent Tree,14,TRUE,TRUE
36887133,Vernon,27-06-2015,"Dallas, Texas, United States",within an hour,100,100,TRUE,White Rock East,2,TRUE,TRUE
3527030,Sean,10-09-2012,"Dallas, Texas, United States",within an hour,100,98,TRUE,Oak Cliff,2,TRUE,TRUE
40014595,Carlos,30-07-2015,"La Tijera, Jalisco, Mexico",within an hour,100,93,TRUE,North Central Dallas,3,TRUE,TRUE
24407447,Blake,02-12-2014,"Leesburg, Texas, United States",within an hour,100,95,FALSE,Lake Highlands,17,TRUE,TRUE
42512828,Monica,25-08-2015,"Dallas, Texas, United States",within an hour,90,77,FALSE,Southwest Dallas,1,TRUE,TRUE
11394453,Jeff,17-01-2014,"Dallas, Texas, United States",within an hour,100,97,TRUE,Northwest Dallas,1,TRUE,TRUE
38499343,Meka,14-07-2015,"Dallas, Texas, United States",,,,FALSE,North Central Dallas,1,TRUE,TRUE
40543093,Michele,04-08-2015,"Colleyville, Texas, United States",within a few hours,100,67,FALSE,,1,TRUE,FALSE
31848869,David,24-04-2015,"Dallas, Texas, United States",within an hour,100,64,FALSE,Oak Lawn,1,TRUE,TRUE
