id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,host_id
50655783,Luxurious Spacious 1 Bedroom in Dallas,District 11,32.93762,-96.82281,Entire rental unit,Entire home/apt,4,1.0,2.0,122.0,1,365,4.97,4.97,4.91,4.67,4.97,4.97,4.97,True,349473128
54196007,Luxury 1BR GEM Near Galleria Mall All Things Blue,District 11,32.94712,-96.82599,Entire rental unit,Entire home/apt,2,1.0,1.0,136.0,1,1125,4.73,4.86,4.82,4.77,4.86,4.68,4.77,False,408473679
4671587,Beautiful 3 Story Townhome - Downtown Dallas,District 2,32.780848079814575,-96.79106982420878,Entire townhouse,Entire home/apt,6,3.0,3.0,303.0,2,1125,4.9,4.94,4.85,4.96,4.95,4.9,4.83,False,23751816
4937446,Northeast Dallas,District 10,32.87459,-96.6936,Private room in home,Private room,1,1.0,1.0,60.0,2,14,5.0,5.0,5.0,5.0,5.0,4.67,4.67,False,8361847
5019741,"3 Bed 2 Bath, Downtown Townhome, Modern & Peaceful",District 14,32.79689,-96.78413,Entire townhouse,Entire home/apt,5,3.0,3.0,135.0,28,1125,4.75,4.93,4.97,4.97,4.98,4.57,4.85,False,9761734
5778671,Medical Professional Welcome,District 6,32.87351,-96.85159,Private room in home,Private room,1,1.0,1.0,35.0,5,90,4.75,4.88,4.63,5.0,4.88,5.0,4.75,False,1294259
6200898,Turtle Creek Condo,District 14,32.80304,-96.80965,Private room in condo,Private room,2,2.0,1.0,60.0,14,30,5.0,4.96,5.0,4.96,5.0,4.93,5.0,False,32157153
8716333,COZY 1 BEDROOM IN NORTH DALLAS,District 11,32.95742,-96.8076,Private room in rental unit,Private room,3,1.0,1.0,71.0,2,1125,4.89,4.91,4.91,4.98,4.95,4.84,5.0,False,27296534
9340939,Lovely home near White Rock Lake,District 10,32.87362,-96.72642,Private room in home,Private room,2,1.0,1.0,70.0,1,1125,4.65,4.52,4.61,4.75,4.61,4.88,4.7,True,25090597
9415835,Historic Sanctuary in the City | Hera House,District 14,32.81272,-96.76833,Entire home,Entire home/apt,2,1.0,1.0,88.0,2,7,4.83,4.86,4.86,4.95,4.94,4.95,4.84,False,48821106
10037226,Stay in Style! Heart of Dallas 106,District 2,32.808,-96.81287,Entire condo,Entire home/apt,2,1.0,1.0,62.0,30,365,4.7,4.8,4.35,5.0,4.95,5.0,4.7,False,49028930
13139581,"Stunning Room Near Uptown, Downtown, Deep Ellum",District 14,32.79702,-96.79184,Private room in townhouse,Private room,2,1.0,1.0,109.0,1,30,4.84,4.92,4.7,4.92,4.96,4.91,4.87,False,73227695
13262768,Chic ensuite room with  kitchenette/livingroom.,District 14,32.80227,-96.78656,Private room in townhouse,Private room,4,1.0,2.0,58.0,2,7,4.96,4.98,4.99,4.97,4.99,4.8,4.95,False,74141217
14430296,Cozy Room close to Downtown Dallas & SMU,District 14,32.84621,-96.76757,Private room in condo,Private room,1,1.0,1.0,32.0,32,1111,4.73,4.27,4.09,4.8,4.64,4.73,4.4,False,42797060
